Английское слово,Перевод,Контекст,Тема,Сложность,Произношение
apple,яблоко,I eat an apple every day.,Еда,1,
banana,банан,Monkeys like to eat bananas.,Еда,1,
run,бегать,I run every morning.,Глаголы движения,2,
computer,компьютер,I work on my computer daily.,Технологии,3,
study,изучать,"To learn a language, you need to study regularly.",Образование,2,
book,книга,I read a book every evening before sleep.,Хобби,1,
water,вода,Humans cannot live without water.,Природа,1,
tree,дерево,The birds are singing in the tree.,Природа,1,
happy,счастливый,She looks very happy today.,Эмоции,2,
sad,грустный,He felt sad after watching the movie.,Эмоции,2, 
